#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000014 009.745 -00.533 0.456 000003 00.144 14.539 02.151
000000000615 349.985 -00.717 0.612 000003 00.101 29.439 03.061
000000000015 140.324 -00.532 0.474 000003 00.126 18.873 02.451
000000000016 163.648 -00.664 0.465 000003 00.139 15.516 02.222
000000000019 152.133 -00.013 0.462 000003 00.119 21.346 02.607
000000000020 160.186 -00.203 0.469 000003 00.198 07.623 01.558
000000000021 141.250 -00.852 0.476 000003 00.340 02.599 00.910
000000000619 204.396 -00.614 0.633 000003 00.062 78.220 04.990
000000000027 012.987 -00.545 0.464 000003 00.246 04.946 01.255
000000000028 156.005 +00.642 0.459 000003 00.346 02.509 00.894
000000000029 158.683 -00.242 0.462 000003 00.152 12.984 02.033
000000000068 009.523 -00.113 0.498 000003 00.148 13.640 02.084
000000000070 161.795 +00.498 0.506 000003 00.168 10.620 01.839
000000000131 011.959 +00.479 0.527 000003 00.196 07.781 01.574
000000000072 139.079 -00.473 0.505 000003 00.151 13.095 02.042
000000000105 150.201 +00.245 0.519 000003 00.197 07.716 01.567
000000000106 185.303 +00.241 0.521 000003 00.121 20.613 02.562
000000000107 137.697 +00.178 0.525 000003 00.170 10.404 01.820
000000000596 213.274 -00.774 0.602 000003 00.078 49.420 03.966
000000000110 163.886 -00.531 0.532 000003 00.347 02.486 00.890
000000000112 011.511 +00.182 0.500 000003 00.148 13.704 02.089
000000000113 139.087 -00.772 0.527 000003 00.192 08.175 01.613
000000000595 205.086 +00.635 0.608 000003 00.102 28.670 03.021
000000000115 035.007 -00.951 0.523 000003 00.172 10.096 01.793
000000000116 155.313 -00.860 0.516 000003 00.177 09.611 01.749
000000000117 010.536 -00.430 0.542 000003 00.172 10.116 01.794
000000000118 161.718 -00.314 0.512 000003 00.134 16.760 02.310
000000000120 160.799 +00.368 0.526 000003 00.213 06.605 01.450
000000000121 151.335 -00.727 0.526 000003 00.417 01.723 00.741
000000000124 035.395 -00.207 0.542 000003 00.339 02.612 00.912
000000000125 014.844 +00.346 0.532 000003 00.161 11.541 01.917
000000000126 151.099 -00.726 0.520 000003 00.259 04.480 01.194
000000000127 152.720 -00.674 0.524 000003 00.252 04.741 01.228
000000000594 229.194 -00.021 0.597 000003 00.085 41.935 03.654
000000000129 156.340 -00.623 0.539 000003 00.185 08.746 01.668
000000000130 162.683 -00.331 0.536 000003 00.209 06.890 01.481
000000000104 154.177 +00.030 0.520 000003 00.424 01.670 00.729
000000000200 138.312 +00.289 0.586 000003 00.210 06.784 01.469
000000000101 010.816 -00.029 0.513 000003 00.186 08.692 01.663
000000000085 142.204 -00.038 0.508 000003 00.249 04.858 01.244
000000000608 220.809 -00.136 0.638 000003 00.072 58.546 04.317
000000000074 150.454 -00.759 0.506 000003 00.204 07.182 01.512
000000000607 224.862 -00.638 0.629 000003 00.120 20.905 02.580
000000000077 160.056 +00.615 0.507 000003 00.274 04.000 01.128
000000000606 225.927 +00.463 0.608 000003 00.084 42.282 03.669
000000000605 227.389 -00.285 0.618 000003 00.093 34.640 03.321
000000000080 162.255 -00.362 0.482 000003 00.196 07.830 01.579
000000000083 138.487 -00.510 0.509 000003 00.216 06.406 01.428
